Error_Type,Process,True_Label,Predicted_Label,Defect_Probability,Image_Path,Sensor_Path
미탐(FN),사전공정,Defect,Normal,5.12%,dataset/1.basedata/images/test/pr/PR_DEF_OM_A_20250902-181315_01565.jpg,models/1.classsification/processed_data/test/sensors/PR_DEF_OM_A_20250902-181315_01565.npy
미탐(FN),납땜공정,Defect,Normal,10.60%,dataset/1.basedata/images/test/sd/SD_DEF_CC_C_20250906-170750_01270.jpg,models/1.classsification/processed_data/test/sensors/SD_DEF_CC_C_20250906-170750_01270.npy
미탐(FN),납땜공정,Defect,Normal,87.88%,dataset/1.basedata/images/test/sd/SD_DEF_PH_D_20250811-174924_01055.jpg,models/1.classsification/processed_data/test/sensors/SD_DEF_PH_D_20250811-174924_01055.npy
미탐(FN),납땜공정,Defect,Normal,30.35%,dataset/1.basedata/images/test/sd/SD_DEF_ML_C_20250903-173716_02339.jpg,models/1.classsification/processed_data/test/sensors/SD_DEF_ML_C_20250903-173716_02339.npy
미탐(FN),납땜공정,Defect,Normal,8.20%,dataset/1.basedata/images/test/sd/SD_DEF_ML_C_20250903-172406_02296.jpg,models/1.classsification/processed_data/test/sensors/SD_DEF_ML_C_20250903-172406_02296.npy
미탐(FN),납땜공정,Defect,Normal,58.34%,dataset/1.basedata/images/test/sd/SD_DEF_ML_C_20250903-171541_02272.jpg,models/1.classsification/processed_data/test/sensors/SD_DEF_ML_C_20250903-171541_02272.npy
미탐(FN),납땜공정,Defect,Normal,8.30%,dataset/1.basedata/images/test/sd/SD_DEF_ML_C_20250903-170811_02250.jpg,models/1.classsification/processed_data/test/sensors/SD_DEF_ML_C_20250903-170811_02250.npy
미탐(FN),납땜공정,Defect,Normal,12.09%,dataset/1.basedata/images/test/sd/SD_DEF_ML_C_20250903-170725_02247.jpg,models/1.classsification/processed_data/test/sensors/SD_DEF_ML_C_20250903-170725_02247.npy
미탐(FN),납땜공정,Defect,Normal,18.14%,dataset/1.basedata/images/test/sd/SD_DEF_ML_C_20250903-170049_02221.jpg,models/1.classsification/processed_data/test/sensors/SD_DEF_ML_C_20250903-170049_02221.npy
미탐(FN),납땜공정,Defect,Normal,83.47%,dataset/1.basedata/images/test/sd/SD_DEF_CC_C_20250906-174756_01331.jpg,models/1.classsification/processed_data/test/sensors/SD_DEF_CC_C_20250906-174756_01331.npy
미탐(FN),납땜공정,Defect,Normal,18.27%,dataset/1.basedata/images/test/sd/SD_DEF_CC_C_20250906-173848_01314.jpg,models/1.classsification/processed_data/test/sensors/SD_DEF_CC_C_20250906-173848_01314.npy
미탐(FN),납땜공정,Defect,Normal,71.61%,dataset/1.basedata/images/test/sd/SD_DEF_CC_C_20250906-172419_01296.jpg,models/1.classsification/processed_data/test/sensors/SD_DEF_CC_C_20250906-172419_01296.npy
미탐(FN),납땜공정,Defect,Normal,10.60%,dataset/1.basedata/images/test/sd/SD_DEF_CC_C_20250906-170750_01270.jpg,models/1.classsification/processed_data/test/sensors/SD_DEF_CC_C_20250906-170750_01270.npy
미탐(FN),사전공정,Defect,Normal,5.12%,dataset/1.basedata/images/test/pr/PR_DEF_OM_A_20250902-181315_01565.jpg,models/1.classsification/processed_data/test/sensors/PR_DEF_OM_A_20250902-181315_01565.npy
미탐(FN),납땜공정,Defect,Normal,63.98%,dataset/1.basedata/images/test/sd/SD_DEF_ST_D_20250905-170551_02029.jpg,models/1.classsification/processed_data/test/sensors/SD_DEF_ST_D_20250905-170551_02029.npy
미탐(FN),납땜공정,Defect,Normal,87.88%,dataset/1.basedata/images/test/sd/SD_DEF_PH_D_20250811-174924_01055.jpg,models/1.classsification/processed_data/test/sensors/SD_DEF_PH_D_20250811-174924_01055.npy
미탐(FN),납땜공정,Defect,Normal,30.35%,dataset/1.basedata/images/test/sd/SD_DEF_ML_C_20250903-173716_02339.jpg,models/1.classsification/processed_data/test/sensors/SD_DEF_ML_C_20250903-173716_02339.npy
